Code,Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS,Mid
CK108,Arts International - 4 years,440.0,440.0,401.0,,429.0,466.0
CK109,English - 3 years or 4 years (International Pathwa,367.0,357.0,318.0,,347.0,423.0
CK110,World Languages,488.0,,452.0,433.0,456.0,506.0
CK111,Early Years and Childhood Studies,409.0,403.0,419.0,,398.0,429.0
CK112,Theatre and Performative Practices - 3 or 4 years,371.0,,330.0,,324.0,470.0
CK113,Criminology - 3 years or 4 years (International Pa,464.0,463.0,423.0,,408.0,430.0
CK114,Social Science (Youth and Community Work),,,,,,
CK115,Social Work - Mature Applicants only,,,,,,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347.0,339.0,336.0,,307.0,361.0
CK120,Applied Psychology,544.0,543.0,533.0,532.0,506.0,532.0
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499.0,488.0,466.0,,393.0,466.0
CK122,Government and Political Science,399.0,,337.0,328.0,355.0,410.0
CK123,Anthropology,308.0,,308.0,,,
CK124,Education - Gaeilge,473.0,,463.0,462.0,,
CK125,Sports Studies and Physical Education,564.0,555.0,510.0,509.0,,
CK201,Commerce,500.0,499.0,477.0,,465.0,489.0
CK202,Accounting,553.0,543.0,509.0,,467.0,506.0
CK203,Business Information Systems,455.0,452.0,430.0,,409.0,444.0
CK204,Finance,566.0,566.0,556.0,,531.0,555.0
CK205,Commerce (International) with French,465.0,,445.0,,409.0,473.0
CK206,Commerce (International) with German,466.0,455.0,420.0,418.0,408.0,446.0
CK207,Commerce (International) with Italian,423.0,418.0,388.0,,408.0,425.0
CK208,Commerce (International) with Hispanic Studies,488.0,486.0,402.0,,431.0,455.0
CK209,Commerce (International) with Irish,507.0,,484.0,,509.0,528.0
CK211,Commerce (International) with Chinese Studies,385.0,,397.0,,398.0,420.0
CK212,Economics (through Transformational Learning) 3 or,445.0,444.0,444.0,,400.0,429.0
CK213,Food Marketing and Entrepreneurship,466.0,,462.0,,,
CK214,International Development,332.0,,346.0,,,
CK301,Law (Pathways) -  3 or 4 years,533.0,532.0,507.0,499.0,476.0,519.0
CK302,Law and French,545.0,,542.0,,453.0,531.0
CK304,Law and Irish,588.0,,540.0,,462.0,510.0
CK307,Law and Business,589.0,589.0,556.0,,522.0,554.0
CK401,Computer Science,503.0,495.0,468.0,,402.0,456.0
CK402,Biological and Chemical Sciences,555.0,555.0,510.0,509.0,498.0,520.0
CK404,Biological  Earth and Environmental Sciences,500.0,495.0,467.0,,412.0,451.0
CK405,Genetics,543.0,,487.0,,476.0,496.0
CK406,Chemical Sciences,532.0,,485.0,472.0,457.0,488.0
CK407,Mathematical Sciences,566.0,,566.0,565.0,531.0,578.0
CK408,Physics and Astrophysics,566.0,,554.0,542.0,511.0,566.0
CK409,Industrial Physics - Offered jointly by UCC and CI,465.0,,432.0,,413.0,532.0
CK411,Data Science and Analytics,531.0,,510.0,,509.0,542.0
CK412,Agricultural Science,506.0,,496.0,496.0,457.0,509.0
CK504,Nutritional Sciences,555.0,554.0,518.0,,492.0,509.0
CK505,Food Science,463.0,,441.0,440.0,444.0,477.0
CK600,Engineering,510.0,509.0,487.0,,465.0,532.0
CK606,Architecture - Offered jointly by UCC and CIT,543.0,,484.0,476.0,465.0,496.0
CK701,Medicine (Undergraduate Entry - HPAT required),738.0,737.0,731.0,,729.0,740.0
CK702,Dentistry,625.0,625.0,613.0,613.0,590.0,613.0
CK703,Pharmacy,613.0,613.0,590.0,589.0,577.0,589.0
CK704,Occupational Therapy,601.0,,566.0,555.0,532.0,554.0
CK705,Speech and Language Therapy,568.0,566.0,520.0,,509.0,529.0
CK706,Public Health Sciences,500.0,,454.0,,419.0,451.0
CK707,Medical and Health Sciences,578.0,,542.0,541.0,510.0,543.0
CK710,General Nursing,498.0,497.0,454.0,,440.0,466.0
CK712,Children`s and General Nursing (Integrated),565.0,,533.0,,499.0,520.0
CK720,Mental Health Nursing,455.0,452.0,423.0,,398.0,429.0
CK730,Intellectual Disability Nursing,431.0,,419.0,411.0,359.0,388.0
CK740,Midwifery,509.0,,484.0,,444.0,474.0
CK791,Medicine  - Graduate Entry (GAMSAT required),60.0,60.0,57.0,,58.0,59.0
AC120,International Business,294.0,294.0,209.0,,234.0,269.0
AC137,Liberal Arts,271.0,270.0,252.0,,252.0,275.0
CT125,Computing and IT,242.0,242.0,220.0,,235.0,280.0
CT325,Business,253.0,253.0,338.0,,,
CM001,Education - Primary Teaching,508.0,,484.0,,452.0,462.0
CM002,Education - Primary Teaching - Gaeltacht Applicant,462.0,,,,421.0,440.0
CM003,Oideachas â€“ BunmhÃºinteoireacht TrÃ­ MheÃ¡n na Gaeilg,513.0,,528.0,,491.0,506.0
CM004,Oideachas - BunmhÃºinteoireacht TrÃ­ MheÃ¡n na Gaeilg,480.0,,494.0,,492.0,569.0
CM010,Education Studies,382.0,327.0,319.0,,317.0,373.0
CM020,Early Childhood Education,317.0,,327.0,,336.0,363.0
DB500,Computing,234.0,234.0,218.0,218.0,242.0,320.0
DB501,Computing (Cloud Computing),,178.0,227.0,227.0,326.0,329.0
DB502,Computing (Data Analytics and Big Data),267.0,233.0,341.0,341.0,269.0,269.0
DB503,Computing (Software Development),,,225.0,225.0,242.0,282.0
DB504,Computing (Web and Mobile Technology),,,,281.0,227.0,269.0
DB510,Audio Production and Music Project Management,217.0,217.0,234.0,223.0,233.0,293.0
DB512,Business Studies,243.0,210.0,218.0,203.0,229.0,301.0
DB514,Business Studies (Law),239.0,225.0,252.0,,269.0,337.0
DB515,Business Studies (Human Resource Management),242.0,217.0,244.0,244.0,225.0,288.0
DB517,Marketing (Event Management),233.0,225.0,238.0,,226.0,327.0
DB518,Marketing (Digital Media),307.0,209.0,,,210.0,289.0
DB521,Accounting and Finance,243.0,228.0,225.0,195.0,225.0,271.0
DB524,Business (Information Systems),247.0,239.0,342.0,309.0,402.0,402.0
DB525,Marketing (Digital Media and Cloud Computing),288.0,288.0,,,284.0,309.0
DB526,Business (Cloud Computing),244.0,244.0,347.0,,253.0,288.0
DB527,Applied Social Care,254.0,219.0,234.0,260.0,235.0,288.0
DB531,Marketing,288.0,176.0,293.0,,220.0,288.0
DB562,Psychology,244.0,233.0,243.0,229.0,208.0,310.0
DB566,Social Science,262.0,228.0,220.0,227.0,216.0,308.0
DB567,Film and Creative Media,245.0,213.0,218.0,202.0,192.0,295.0
DB568,Law,254.0,228.0,219.0,252.0,245.0,308.0
DB569,Business (Psychology),240.0,240.0,252.0,,279.0,338.0
DC001,Education - Early Childhood Education,445.0,,440.0,,398.0,424.0
DC002,Education - Primary Teaching,518.0,,488.0,,462.0,485.0
DC003,Education - Primary Teaching - Gaeltacht Applicant,489.0,,445.0,,433.0,473.0
DC004,Education - Primary Teaching (Church of Ireland Ce,451.0,,411.0,409.0,357.0,
DC009,Arts (Joint Honours) - Humanities,356.0,,376.0,,347.0,408.0
DC010,Post Primary Teacher Education - Religious Educati,384.0,,441.0,429.0,386.0,413.0
DC011,Post Primary Teacher Education - Religious Educati,409.0,,412.0,391.0,352.0,389.0
DC012,Post Primary Teacher Education - Religious Educati,409.0,,378.0,,367.0,415.0
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413.0,,419.0,,410.0,509.0
DC014,BA in Jazz and Contemporary Music Performance (aud,311.0,,419.0,,428.0,590.0
DC110,Business Studies International,498.0,,465.0,,440.0,462.0
DC111,Business Studies,511.0,,488.0,,463.0,479.0
DC112,Global Business (France),542.0,,517.0,510.0,495.0,510.0
DC113,Global Business (Germany),484.0,,462.0,,440.0,476.0
DC114,Global Business (Spain),544.0,,522.0,,501.0,543.0
DC115,Accounting and Finance,544.0,,510.0,,487.0,500.0
DC116,Global Business (USA),613.0,,579.0,,578.0,589.0
DC117,Aviation Management / Aviation Management with Pil,484.0,,476.0,475.0,463.0,487.0
DC118,GnÃ¡ agus Gaeilge / Business and Irish,368.0,,359.0,,357.0,399.0
DC119,Global Business (Canada),601.0,,564.0,,566.0,577.0
DC120,Computing for Business,403.0,402.0,357.0,,350.0,389.0
DC121,Computer Science,475.0,,400.0,,370.0,418.0
DC123,Data Science,501.0,,465.0,,467.0,511.0
DC126,Actuarial Mathematics,577.0,,560.0,,520.0,543.0
DC127,Common Entry into Actuarial and Financial Mathemat,541.0,,532.0,520.0,509.0,531.0
DC131,Communication Studies,421.0,,407.0,402.0,400.0,441.0
DC132,Journalism,452.0,,429.0,422.0,401.0,440.0
DC133,Multimedia,435.0,,411.0,410.0,403.0,451.0
DC155,Applied Language and Translation Studies,427.0,,387.0,,371.0,430.0
DC161,Analytical Science,498.0,,498.0,489.0,446.0,463.0
DC162,Chemical and Pharmaceutical Sciences,531.0,,521.0,,488.0,498.0
DC163,Chemical Sciences General Entry (Undenominated Ent,466.0,,,,,
DC166,Environmental Science and Technology,423.0,,433.0,399.0,412.0,442.0
DC168,Genetics and Cell Biology,543.0,,512.0,510.0,489.0,500.0
DC175,Physics General Entry (options),400.0,,419.0,402.0,,
DC180,Biological Sciences General Entry (Undenominated E,530.0,,,,,
DC181,Biotechnology,530.0,,499.0,495.0,476.0,488.0
DC190,Electronic and Computer Engineering (with choice o,488.0,,413.0,,391.0,433.0
DC193,Mechatronic Engineering,490.0,,411.0,,404.0,445.0
DC194,Sustainable Systems and Energy,476.0,,,,,
DC195,Mechanical and Manufacturing Engineering,500.0,,425.0,,401.0,444.0
DC197,Biomedical Engineering,510.0,,423.0,,402.0,446.0
DC200,Common Entry into Engineering (Undenominated Entry,511.0,510.0,422.0,,381.0,444.0
DC202,Sport Science and Health,511.0,,500.0,498.0,467.0,476.0
DC203,Science Education,462.0,,435.0,,424.0,476.0
DC204,Athletic Therapy and Training,558.0,,522.0,519.0,484.0,500.0
DC205,Physical Education with Biology,565.0,,531.0,,490.0,521.0
DC206,Physical Education with Mathematics,521.0,,499.0,,443.0,476.0
DC207,Psychology and Mathematics,521.0,,,,,
DC208,Psychology,565.0,,532.0,521.0,509.0,521.0
DC209,Health and Society,477.0,,465.0,440.0,419.0,440.0
DC210,Psychology and Disruptive Technologies,506.0,,,,,
DC215,General Nursing,456.0,,454.0,433.0,414.0,443.0
DC216,Mental Health Nursing,420.0,,418.0,403.0,368.0,389.0
DC217,Intellectual Disability Nursing,382.0,,370.0,,347.0,362.0
DC218,Children`s and General Nursing (Integrated),521.0,,500.0,498.0,467.0,480.0
DC230,Economics  Politics and Law,431.0,,435.0,,400.0,431.0
DC231,International Relations,398.0,,397.0,,387.0,445.0
DC232,Law and Society (BCL),469.0,,466.0,,453.0,487.0
DC235,Education and Training - Daytime and Flexible Deli,302.0,,309.0,,307.0,327.0
DC238,Social Sciences and Cultural Innovation,387.0,,377.0,,358.0,388.0
DC240,Marketing  Innovation and Technology,499.0,,476.0,474.0,451.0,474.0
DC241,Digital Business and Innovation,509.0,,,,,
DC291,Arts (Joint Honours) - Media Studies,350.0,,376.0,,349.0,392.0
DC292,Arts (Joint Honours) - Law,400.0,,403.0,,356.0,388.0
DC293,Arts (Joint Honours) - International Languages,379.0,,377.0,,369.0,400.0
DC294,Climate and Environmental Sustainability,475.0,,,,,
DC295,Arts (Joint Honours) - Politics,349.0,,376.0,,348.0,387.0
DL822,Arts Management,254.0,,229.0,229.0,209.0,319.0
DL823,Business Management,220.0,,235.0,,260.0,316.0
DL825,Applied Psychology,418.0,413.0,379.0,,349.0,413.0
DL826,Graphic Design,591.0,,855.0,,736.0,989.0
DL827,Art,574.0,,572.0,,583.0,902.0
DL832,Animation,989.0,,920.0,,855.0,1055.0
DL833,Photography and Visual Media,671.0,671.0,650.0,,636.0,791.0
DL836,Creative Computing,235.0,,219.0,,217.0,326.0
DL837,New Media Studies,298.0,293.0,201.0,,290.0,349.0
DL838,Creative Music Production,713.0,,754.0,,746.0,873.0
DL839,Interaction and User Experience Design,757.0,,683.0,683.0,,
DL840,Digital Marketing,210.0,,228.0,228.0,,
DL841,English and Equality Studies,277.0,277.0,276.0,,,
DL843,Film,987.0,874.0,,,,
DL844,Television,566.0,,,,,
DL845,Design for Film (degree options),628.0,,,,,
GC200,Business,269.0,242.0,252.0,252.0,269.0,359.0
GC201,Accounting and Finance,260.0,226.0,303.0,303.0,251.0,388.0
GC230,Computing Science,300.0,289.0,335.0,325.0,228.0,327.0
GC300,Business,264.0,264.0,429.0,,251.0,302.0
GC301,Accounting and Finance,,251.0,253.0,253.0,307.0,314.0
GC302,Business - HRM,377.0,377.0,,,269.0,269.0
GC307,Business (Marketing),289.0,270.0,,,,
GC400,Business,250.0,228.0,248.0,248.0,246.0,297.0
GC401,Accounting and Finance,242.0,242.0,240.0,227.0,181.0,309.0
GC402,Business (HRM),,,264.0,236.0,217.0,290.0
GC403,Law,245.0,242.0,244.0,228.0,225.0,308.0
GC407,Business (Marketing),264.0,264.0,280.0,280.0,246.0,330.0
GC430,Computing Science,251.0,251.0,252.0,220.0,217.0,269.0
GC450,Communications and Media Production,225.0,225.0,254.0,254.0,227.0,307.0
GC462,Design Communication (portfolio),300.0,,,,,
GC489,Interior Architecture (portfolio),288.0,274.0,254.0,,267.0,361.0
GC494,Fashion Design (portfolio),351.0,,337.0,217.0,,
BY001,Business,210.0,210.0,,,,
ID001,Accounting and Finance,,,203.0,,229.0,291.0
ID002,Business Studies,,,294.0,,285.0,366.0
AD101,First Year Art and Design (Common Entry portfolio),554.0,,,,,550.0
AD102,Graphic Design and Moving Image Design (portfolio),538.0,,,,,635.0
AD103,Textile and Surface Design and Jewellery and Objec,505.0,,,,,545.0
AD202,Education and Design or Fine Art (Second Level Tea,591.0,,,,,580.0
AD204,Fine Art (portfolio),514.0,,,,,600.0
AD211,Fashion Design (portfolio),760.0,679.0,,,,600.0
AD212,Product Design (portfolio),413.0,,,,,600.0
AD215,Visual Culture,337.0,300.0,377.0,320.0,300.0,338.0
AD217,Illustration (portfolio),738.0,,,,,625.0
AD222,Interaction Design (portfolio),444.0,,,,,657.0
NC003,Computing (Degree Award options),271.0,,260.0,,261.0,316.0
NC005,Human Resource Management,301.0,,300.0,,297.0,320.0
NC009,Business,300.0,,300.0,,297.0,339.0
NC010,Psychology,420.0,,400.0,,366.0,399.0
NC020,Marketing Practice,270.0,,280.0,,270.0,307.0
NC022,Accounting and Finance,330.0,,337.0,,338.0,376.0
NC023,Technology Management (with specialisations),266.0,,261.0,,260.0,303.0
NC030,Early Childhood Education and Care,251.0,251.0,,,,
RC001,Medicine - Undergraduate Entry (HPAT required),741.0,740.0,733.0,,729.0,733.0
RC004,Physiotherapy,589.0,589.0,566.0,,532.0,542.0
RC005,Pharmacy,613.0,613.0,579.0,,555.0,566.0
RC101,Medicine - Graduate Entry (GAMSAT required),,,,,60.0,62.0
NM801,Montessori Education,262.0,,220.0,,,
NM802,Psychology,228.0,,,,,
TU801,Sustainable Energy Engineering,235.0,,235.0,,,
TU802,Electrical Services and Energy Management,309.0,,317.0,300.0,,
TU804,Engineering (Common Entry with Award options),270.0,,271.0,,,
TU805,Engineering (General Entry),466.0,465.0,402.0,,,
TU807,Computer Engineering in Mobile Systems,274.0,,276.0,,,
TU810,Mechatronic Engineering,271.0,,270.0,,,
TU811,Product Design,440.0,434.0,411.0,,,
TU812,Design Technology and Innovation,278.0,,270.0,,,
TU814,Sustainable Transport Management,253.0,253.0,285.0,251.0,,
TU828,Mechanical Engineering (General Entry),300.0,,,,,
TU829,Electronic Engineering (General Entry),248.0,248.0,,,,
TU831,Architectural Technology,423.0,,410.0,,,
TU832,Architecture (Suitability Test and Interview),644.0,638.0,622.0,,,
TU833,Construction Management,396.0,,367.0,,,
TU834,Geographic Science,315.0,,288.0,,,
TU835,Planning and Environmental Management,330.0,,313.0,,,
TU836,Property Economics (Valuation Surveying),411.0,,401.0,,,
TU837,Quantity Surveying and Construction Economics,413.0,,385.0,,,
TU838,Sustainable Timber Technology,307.0,271.0,,,,
TU851,Analytical Chemistry (Environmental  Forensic and,400.0,,349.0,,,
TU852,Chemical Sciences with Medicinal Chemistry,477.0,,476.0,,,
TU854,Science (General Entry),510.0,,476.0,,,
TU855,Science with Nanotechnology,322.0,,331.0,319.0,,
TU856,Computer Science,499.0,,476.0,,,
TU857,Computer Science (Infrastructure),403.0,,391.0,,,
TU858,Computer Science (International),395.0,,377.0,,,
TU859,Computing,251.0,,217.0,234.0,,
TU860,Computing (Information Technology),270.0,,260.0,,,
TU861,Computing with Language (French/German/Spanish),235.0,235.0,308.0,308.0,,
TU862,Computing with Artificial Intelligence Machine Lea,262.0,,226.0,226.0,,
TU863,Digital Forensics and Cyber Security,282.0,,280.0,,,
TU864,DNA and Forensic Analysis,500.0,441.0,400.0,390.0,,
TU865,Cloud Computing,235.0,,226.0,,,
TU866,Biomedical and Molecular Diagnostics,522.0,,487.0,,,
TU867,Biomedical Science,576.0,566.0,524.0,,,
TU868,Clinical Measurement Science,542.0,,510.0,,,
TU869,Environmental Health,387.0,,336.0,,,
TU870,Human Nutrition and Dietetics,601.0,,578.0,,,
TU871,Optometry,532.0,,509.0,,,
TU872,Public Health Nutrition,487.0,,491.0,,,
TU874,Mathematical Sciences,294.0,294.0,341.0,,,
TU875,Pharmaceutical Healthcare,451.0,,400.0,,,
TU876,Pharmaceutical Science,445.0,,377.0,349.0,,
TU877,Physics Technology,314.0,314.0,308.0,,,
TU878,Physics with Energy and Environment,339.0,,337.0,337.0,,
TU879,Physics with Medical Physics and Bioengineering,346.0,,351.0,,,
TU880,Physics with Data Science,412.0,,578.0,,,
TU881,Food Innovation,309.0,,318.0,,,
TU882,Nutraceuticals in Health and Nutrition,380.0,,397.0,,,
TU902,Business (options),270.0,,271.0,,,
TU903,Business and Management,477.0,,463.0,,,
TU904,Business and Law,462.0,,462.0,,,
TU905,Economics and Finance,460.0,,465.0,,,
TU906,Human Resource Management,386.0,377.0,395.0,,,
TU907,Logistics and Supply Chain Management,300.0,,300.0,,,
TU910,Accounting,420.0,,444.0,,,
TU912,Business Analytics,331.0,311.0,330.0,,,
TU914,Business Computing,322.0,,324.0,,,
TU917,Law (LLB ) with a Language,356.0,,342.0,,,
TU918,Law (LLB),463.0,,451.0,,,
TU919,Advertising and Marketing Communications,219.0,,228.0,226.0,,
TU920,Digital Marketing,270.0,,270.0,,,
TU921,Digital Marketing Technologies,230.0,,212.0,212.0,,
TU922,Marketing,412.0,,418.0,,,
TU924,E-Commerce in Retailing,307.0,,307.0,,,
TU925,Retail and Services Management,307.0,,301.0,,,
TU932,Business (options),211.0,,,,,
TU933,Accounting and Finance (campus options),251.0,,,,,
TU935,Sports Management and Coaching,300.0,,300.0,,,
TU936,Sports Science and Health,484.0,,410.0,391.0,,
TU941,Botanical Cuisine,311.0,,249.0,,,
TU942,Culinary Arts,252.0,,212.0,212.0,,
TU943,Culinary Entrepreneurship,261.0,,278.0,,,
TU944,Culinary Science,336.0,,316.0,,,
TU951,International Hospitality and Tourism Management,244.0,,184.0,184.0,,
TU952,International Hospitality Management,309.0,,300.0,,,
TU953,Tourism and Digital Marketing,308.0,,290.0,,,
TU954,Event Management,326.0,,356.0,,,
TU955,Sports and Leisure Management,275.0,,217.0,317.0,,
TU961,Commercial Modern Music (BIMM - assessment/auditio,536.0,536.0,608.0,608.0,,
TU962,Drama (Performance  audition),448.0,,379.0,,,
TU963,Music (audition),364.0,,416.0,,,
TU965,International Business and Languages,357.0,,356.0,346.0,,
TU967,Languages and International Tourism,298.0,,308.0,,,
TU973,Design - Visual Communication (portfolio),700.0,,717.0,,,
TU974,Fine Art (portfolio),549.0,,709.0,563.0,,
TU975,Interior Design (portfolio),544.0,,632.0,,,
TU976,Photography (portfolio),700.0,,695.0,,,
TU978,Creative Industries and Visual Culture,299.0,,,,,
TU981,Creative Digital Media,280.0,,280.0,,,
TU982,Media Production and Digital Arts,369.0,,320.0,311.0,,
TU983,Film and Broadcasting,462.0,453.0,456.0,451.0,,
TU984,Game Design,414.0,,381.0,,,
TU985,Journalism,367.0,,322.0,,,
