,COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,Test/Interview #
252,Science (options),CW108,261,,,,261,,346,
253,Pharmacy Technician Studies,CW116,250,,,,250,,388,
254,Biosciences,CW117,205,,,,205,,380,
255,Science - Applied Biology or Applied Chemistry,CW126,191,,,,191,,424,
256,Brewing and Distilling,CW128,263,,,,263,,318,
257,Sport and Exercise Science,CW138,423,,,,423,,444,
258,Strength and Conditioning,CW148,379,,,,379,,400,
259,Sport Rehabilitation and Athletic Therapy,CW188,451,,448,,448,,466,
260,Computing - Applications or Programming,CW206,235,,,,235,,369,
261,Software Development,CW207,244,,,,244,,329,
262,Computer Games Development,CW208,279,,,,279,,327,
263,Information Technology Management,CW217,234,,,,234,,377,
264,Cybercrime and IT Security,CW227,233,,,,242,,357,
265,Computing in Interactive Digital Art and Design,CW237,212,,,,212,,337,
266,Software Development,CW238,297,,,,297,,341,
267,Information Technology Management,CW248,285,,,,285,,385,
268,Cybercrime and IT Security,CW258,293,,,,293,,358,
269,Computing in Interactive Digital Art and Design,CW268,287,,,,287,,369,
270,Architectural Technology,CW407,188,,,,188,,358,
271,Construction Management with Building Services,CW417,220,,,,220,,322,
272,Civil Engineering,CW427,199,,,,199,,347,
273,Construction (options),CW438,272,,,,272,,336,
274,Architectural Technology,CW468,262,,,,262,,358,
275,Civil Engineering,CW478,433,,,,433,,492,
276,Aircraft Systems,CW507,293,,,,294,,399,
277,Mechanical Engineering,CW517,276,,,,276,,371,
278,Electronic Engineering,CW527,227,,,,227,,357,
279,TV and Media Production,CW547,301,,,,301,,413,
280,Mechanical Engineering,CW548,321,,,,321,,371,
281,Electronic Systems,CW558,280,,,,280,,361,
282,Aerospace Engineering,CW568,380,,,,380,,442,
283,TV and Media Production,CW578,325,,,,325,,420,
284,Legal Studies,CW706,163,,,,163,,377,
285,Industrial Design,CW707,207,,,,207,,380,#
286,Law - LLB,CW708,302,,,,302,,349,
287,Professional Social Care Practice,CW717,288,,,,288,,347,#
288,Product Design Innovation,CW728,252,,,,252,,359,
289,Early Childhood Education and Care,CW748,270,,,,270,,327,
290,Professional Social Care Practice,CW758,336,,,,336,,358,
291,Sport Coaching and Business Management - GAA (portfolio),CW807,700,,,,700,,700,#
292,Media and Public Relations,CW808,251,,,,251,,298,
293,Sport Coaching and Business Management - Rugby (portfolio),CW817,700,,,,700,,700,#
294,Sport Coaching and Business Management - Soccer (portfolio),CW827,700,,,,700,,700,#
295,Digital Marketing with Analytics,CW837,200,,,,200,,356,
296,Digital Marketing with Analytics,CW848,254,,,,269,,326,
297,"Sports Management and Coaching (options, portfolio)",CW858,700,,,,700,,700,#
298,Business,CW906,177,,,,177,,297,
299,Business (options),CW908,280,,,,280,,357,
300,Business (options),CW917,224,,,,224,,378,
301,Business with Law,CW926,210,,,,210,,409,
302,Accounting,CW936,231,,,,231,,403,
303,Business with Law,CW938,283,,,,283,,301,
304,Accounting,CW948,300,,,,300,,364,
305,Computing,DB500,218,,218,,218,,301,
306,Computing (Cloud Computing),DB501,227,,227,,227,,280,
307,Computing (Data Analytics and Big Data),DB502,341,,341,,334,,377,
308,Computing (Software Development),DB503,225,,225,,225,,281,
309,Computing (Web and Mobile Technology),DB504,,,281,,281,,281,
310,Audio Production and Music Project Management,DB510,234,,223,,223,,290,
311,Business Studies,DB512,218,,203,,203,,308,
312,Business Studies (Law),DB514,252,,,,251,,270,
313,Business Studies (Human Resource Management),DB515,244,,244,,244,,326,
314,Financial Services,DB516,,,,,,,,
315,Marketing (Event Management),DB517,238,,,,238,,309,
316,Accounting and Finance,DB521,225,,195,,195,,318,
317,Business (Information Systems),DB524,342,,309,,309,,409,
318,Business (Cloud Computing),DB526,347,,,,347,,423,
319,Applied Social Care,DB527,234,,260,,234,,306,
320,Applied Social Care,DB528,AQA,,AQA,,AQA,,337,
321,Marketing,DB531,293,,,,293,,336,
322,Sound Engineering and Music Production,DB534,AQA,,AQA,,AQA,,338,
323,Psychology,DB562,243,,229,,229,,322,
324,Arts,DB563,161,,189,,161,,357,
325,Social Science,DB566,220,,227,,220,,290,
326,Film and Creative Media,DB567,218,,202,,202,,290,
327,Law,DB568,219,,252,,217,,309,
328,Business (Psychology),DB569,252,,,,252,,284,
329,Business Studies,DB571,173,,211,,122,,398,
330,Business in Accounting,DB572,119,,117,,117,,368,
331,Business in Marketing,DB573,117,,146,,117,,388,
332,Business in Information Technology,DB574,136,,388,,136,,388,
333,Film and Creative Media,DB576,AQA,,AQA,,AQA,,338,
334,Education - Early Childhood Education,DC001,440,,,,440,,462,
335,Education - Primary Teaching,DC002,488,,,,488,,520,
336,Education - Primary Teaching - Gaeltacht Applicants,DC003,445,,,,445,,462,#
337,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,411,,409,,409,,463,#
338,Arts (Joint Honours) - Humanities,DC009,376,,,,376,,423,
339,Post Primary Teacher Education - Religious Education and English,DC010,441,,429,,429,,465,
340,Post Primary Teacher Education - Religious Education and History,DC011,412,,391,,391,,429,
341,Post Primary Teacher Education - Religious Education and Music,DC012,378,,,,378,,420,#
342,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,419,,,,419,,487,
343,BA in Jazz and Contemporary Music Performance (audition),DC014,419,,,,419,,605,#
344,Business Studies International,DC110,465,,,,465,,488,
345,Business Studies,DC111,488,,,,488,,507,
346,Global Business (France),DC112,517,,510,,510,,532,
347,Global Business (Germany),DC113,462,,,,462,,496,
348,Global Business (Spain),DC114,522,,,,522,,545,
349,Accounting and Finance,DC115,510,,,,510,,544,
350,Global Business (USA),DC116,579,,,,579,,601,
351,Aviation Management / Aviation Management with Pilot Studies,DC117,476,,475,,475,,500,
352,Gnó agus Gaeilge / Business and Irish,DC118,359,,,,359,,429,
353,Global Business (Canada),DC119,564,,,,564,,577,
354,Enterprise Computing,DC120,357,,,,357,,392,
355,Computer Applications,DC121,400,,,,400,,455,
356,Data Science,DC123,465,,,,465,,531,
357,Actuarial Mathematics,DC126,560,,,,560,,578,
358,Common Entry into Actuarial and Financial Mathematics,DC127,532,,520,,520,,543,
359,Communication Studies,DC131,407,,402,,402,,451,
360,Journalism,DC132,429,,422,,422,,466,
361,Multimedia,DC133,411,,410,,410,,451,
362,Applied Language and Translation Studies,DC155,387,,,,387,,444,
363,Analytical Science,DC161,498,*,489,,489,,510,
364,Chemical and Pharmaceutical Sciences,DC162,521,,,,521,,544,
365,Environmental Science and Technology,DC166,433,,399,,399,,441,
366,Genetics and Cell Biology,DC168,512,*,510,,510,,529,
367,Physics General Entry (options),DC175,419,,402,,402,,467,
368,Biotechnology,DC181,499,,495,,495,,511,
369,Electronic and Computer Engineering (with choice of four majors),DC190,413,,,,413,,465,
370,Mechatronic Engineering,DC193,411,,,,411,,487,
371,Mechanical and Manufacturing Engineering,DC195,425,,,,425,,487,
372,Biomedical Engineering,DC197,423,,,,423,,477,
373,Common Entry into Engineering (Undenominated Entry),DC200,422,,,,422,,487,
374,Common Entry into Science (Undenominated Entry),DC201,498,*,488,,488,,499,
375,Sport Science and Health,DC202,500,,498,*,498,*,521,
376,Science Education,DC203,435,,,,435,,487,
377,Athletic Therapy and Training,DC204,522,,519,,519,,533,
378,Physical Education with Biology,DC205,531,,,,531,,553,
379,Physical Education with Mathematics,DC206,499,,,,499,,520,
380,Psychology,DC208,532,,521,,521,,533,
381,Health and Society,DC209,465,,440,,440,,466,
382,General Nursing,DC215,454,,433,,433,,462,
383,Mental Health Nursing,DC216,418,,403,,403,,424,
384,Intellectual Disability Nursing,DC217,370,,,,370,,390,
385,Children`s and General Nursing (Integrated),DC218,500,,498,,498,,522,
386,"Economics, Politics and Law",DC230,435,,,,435,,462,
387,International Relations,DC231,397,,,,397,,433,
388,Law and Society (BCL),DC232,466,,,,466,,496,
389,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,309,,,,309,,357,
390,Social Sciences and Cultural Innovation,DC238,377,,,,377,,411,
391,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",DC239,430,,,,430,,473,
392,"Marketing, Innovation and Technology",DC240,476,,474,,474,,498,
393,Arts (Joint Honours) - Media Studies,DC291,376,,,,376,,409,
394,Arts (Joint Honours) - Law,DC292,403,,,,403,,430,
395,Arts (Joint Honours) - International Languages,DC293,377,,,,377,,466,
396,Arts (Joint Honours) - Politics,DC295,376,,,,376,,409,
397,Business and Management,DK710,120,,120,,120,,352,
398,Business and Technology,DK711,191,,,,191,,327,
399,Digital Marketing and Public Relations,DK712,100,,100,,100,,349,
400,Computing,DK721,106,,106,,106,,326,
401,Augmented and Virtual Reality,DK722,144,,144,,144,,348,
402,Building Surveying,DK730,165,,,,165,,330,
403,Architectural Technology,DK731,332,,,,332,,392,
404,Construction Management,DK732,120,,,,120,,321,
405,Engineering - Electrical and Electronic Systems,DK740,179,,179,,179,,339,
406,Engineering - Mechanical Engineering,DK742,166,,166,,166,,312,
407,Engineering - Civil Engineering,DK744,190,,157,,157,,341,
408,Hospitality Management,DK750,176,,176,,176,,279,
409,Event Management,DK752,175,,175,,175,,347,
410,Culinary Arts,DK753,182,,182,,182,,387,
411,"Sport, Exercise and Enterprise",DK763,233,,,,225,,329,
412,Community Youth Work (interview),DK767,240,,240,,240,,330,#
413,Audio and Music Production,DK768,261,,,,261,,361,
414,Creative Media,DK769,165,,165,,165,,318,
415,Theatre & Film Practice,DK770,190,,190,,190,,388,
416,Musical Theatre (audition),DK771,,,,,,,,#
417,Science - Bioscience,DK781,358,,328,,208,,381,
418,Science - Pharmaceutical Science,DK783,349,,317,,210,,362,
419,Veterinary Nursing,DK784,399,,,,399,,445,
420,Accounting and Finance,DK810,305,,305,,305,,401,
421,Business Studies,DK816,300,,300,,300,,367,
422,Computing in Games Development,DK820,311,,311,,311,,348,
423,Computing in Software Development,DK821,302,,302,,302,,361,
424,Augmented and Virtual Reality,DK822,307,,,,304,,380,
425,Building Surveying,DK830,336,,,,336,,352,
426,Architectural Technology,DK831,389,,,,389,,433,
427,Construction Management,DK832,387,,,,387,,419,
428,Engineering (Common Entry),DK843,340,,340,,340,,439,
429,Mechanical Engineering,DK844,305,,305,,305,,448,
430,Electrical & Electronic Engineering,DK845,304,,304,,304,,392,
431,Civil Engineering,DK846,391,,361,,361,,392,
432,International Tourism Management,DK850,317,,317,,317,,377,
433,Music (audition),DK860,532,,532,,503,,634,#
434,Arts,DK861,302,,302,,302,,363,
435,Social Care,DK862,301,,,,301,,347,
436,Creative Media,DK863,308,,308,,308,,337,
437,Film and Television Production,DK864,300,,300,,300,,402,
438,Audio and Music Production,DK865,301,,,,301,,367,
439,General Nursing,DK870,403,,401,,397,*,419,
440,Intellectual Disability Nursing,DK872,336,,,,336,,358,
441,Mental Health Nursing,DK874,356,,,,356,,379,
442,Early Childhood Studies,DK876,321,,,,321,,388,
443,Midwifery,DK877,440,,,,440,,470,
444,Health and Physical Activity,DK880,328,,,,328,,389,
445,Agriculture (Award options),DK882,310,,,,310,,380,
446,Science (Award options),DK883,358,,321,,300,,370,
447,Sustainable Agriculture,DK884,,,,,,,,
448,Agri-Food Production,DK885,,,,,,,,
449,Biopharmaceutical Science,DK886,301,,,,301,,338,
450,Environmental Science,DK887,330,,,,330,,589,
451,Business - Applied Entrepreneurship,DL701,AQA,,AQA,,AQA,,359,
452,"English, Media and Cultural Studies",DL821,212,,212,,212,,347,
453,Arts Management,DL822,229,,229,,235,,337,
454,Business Management,DL823,235,,,,237,,325,
455,Applied Psychology,DL825,379,,,,379,,434,
456,Visual Communication Design,DL826,855,,,,855,,1024,#
457,Art,DL827,572,,,,572,,941,#
458,"3D Design, Modelmaking and Digital Art",DL828,506,,,,538,,920,#
459,Design for Stage and Screen (Costume Design),DL829,593,,,,593,,947,#
460,Design for Stage and Screen (Character Makeup Design),DL830,939,,,,939,,968,#
461,Design for Stage and Screen (Production Design),DL831,781,,,,781,,1026,#
462,Animation,DL832,920,,,,920,,1022,#
463,Photography,DL833,650,,,,667,,854,#
464,Film and Television Production,DL834,990,,,,990,,1040,#
465,Creative Computing,DL836,219,,,,219,,300,
466,New Media Studies,DL837,201,,,,201,,316,
467,Creative Music Production,DL838,754,,,,754,,972,#
468,Interaction and User Experience Design,DL839,683,,683,,683,,990,#
469,Digital Marketing,DL840,228,,228,,228,,327,
470,English and Equality Studies,DL841,276,,,,276,,341,
471,Architecture,DN100,510,,,,510,,541,
472,Landscape Architecture,DN120,407,,,,407,,453,
473,City Planning and Environmental Policy,DN130,407,,400,,390,,432,
474,Engineering (Common Entry),DN150,531,,521,,520,*,565,
475,Science (options),DN200,533,,,,533,,567,
476,Computer Science (Common Entry),DN201,510,,,,510,,542,
477,Actuarial and Financial Studies,DN230,601,,,,601,,613,
478,Sustainability,DN240,440,,,,440,,498,
479,Agricultural Science (options),DN250,456,,455,,453,,488,
480,Dairy Business,DN252,410,,,,410,,455,
481,Agri - Environmental Sciences,DN253,418,,,,413,,443,
482,Food Science,DN261,477,,,,476,*,495,
483,Human Nutrition,DN262,531,,,,531,,553,
484,Forestry,DN271,311,,,,311,,359,
485,"Horticulture, Landscape and Sportsturf Management",DN272,297,,282,,282,,378,
486,Veterinary Medicine - Undergraduate Entry,DN300,589,,,,589,,602,#
487,Veterinary Medicine - Graduate Entry (GAMSAT required),DN301,,,,,#,,,#
488,Veterinary Nursing,DN310,478,,477,,466,*,489,
489,Medicine - Undergraduate Entry (HPAT required),DN400,737,,736,*,736,*,748,#
490,Medicine - Graduate Entry (GAMSAT required),DN401,,,,,58,*,61,#
491,Radiography,DN410,534,,532,*,531,*,543,
492,Radiography - Graduate Entry,DN411,,,,,#,,,#
493,Physiotherapy,DN420,578,,577,*,568,,589,
494,Health and Performance Science,DN425,510,,509,*,507,,521,
495,Sport and Exercise Management,DN430,455,,445,,433,,455,
496,"Biomedical, Health and Life Sciences",DN440,590,,589,*,589,*,601,
497,General Nursing,DN450,429,*,424,,421,,445,
498,Children`s and General Nursing (Integrated),DN451,509,,506,,499,,529,
499,Midwifery,DN452,489,,476,,473,,499,
500,Mental Health Nursing,DN453,397,,393,,393,,412,
501,Joint Honours (options),DN520,310,,,,310,,409,
502,Humanities (options),DN530,340,,336,,326,,419,
503,Modern Languages (options),DN541,303,,,,300,,443,
504,Law (options),DN600,546,,544,,543,*,566,
505,Business and Law,DN610,545,,,,544,,577,
506,Commerce,DN650,521,*,521,*,521,*,543,
507,Commerce International (options),DN660,517,,511,,510,*,531,
508,Economics and Finance,DN670,613,,,,613,,625,
509,Social Sciences (options),DN700,421,,419,,418,,466,
510,Economics,DN710,498,*,498,*,498,*,510,
511,Psychology,DN720,530,,522,*,522,*,543,
512,Social Policy and Sociology,DN750,378,,,,377,,408,
513,Computing and Multimedia (Level 6 - Higher Certificate),DS602,,,,,198,,367,
514,Computing and Multimedia (Level 6 - Certificate),DS603,,,,,423,,523,
515,Business,DS701,,,,,299,,299,
516,Computing and Multimedia (Level 7),DS702,,,,,290,,413,
517,Business,GA160,163,,163,,163,,278,
518,Business,GA170,250,,,,250,,420,
519,Business Information Systems,GA171,250,,,,250,,367,
520,Rural Enterprise and Agri-Business,GA172,277,,,,277,,382,
521,Marketing and Sales,GA174,281,,,,282,,377,
522,Finance,GA175,278,,,,278,,467,
523,Business with Entrepreneurship,GA176,278,,,,278,,411,
524,Accounting,GA181,309,,,,309,,403,
525,Business,GA182,287,,,,287,,347,
526,Business Information Systems,GA183,296,,,,296,,356,
527,Marketing and Sales,GA184,307,,,,307,,357,
528,Finance and Economics,GA185,293,,,,293,,392,
529,Business with Entrepreneurship,GA186,280,,,,280,,356,
530,Rural Enterprise and Agri-Business,GA187,281,,,,281,,352,
531,Heritage Studies,GA272,188,,188,,188,,363,
532,Contemporary Art,GA273,702,,,,702,,892,#
533,Design,GA274,251,,,,251,,378,
534,Film and Documentary,GA281,304,,,,304,,379,
535,Heritage Studies,GA282,220,,,,220,,281,
536,Contemporary Art,GA283,679,,,,679,,870,#
537,Design,GA284,303,,,,303,,356,
538,"Education (Art, Design and Graphics)",GA285,,,,,,,,
539,Business in Tourism,GA360,172,,172,,172,,260,
540,Culinary Arts,GA361,193,,,,193,,375,
541,Hotel and Hospitality Operations,GA362,240,,228,,228,,330,
542,Heritage Studies,GA364,252,,252,,252,,369,
543,Hotel and Catering Management,GA370,198,,,,198,,362,
544,Event Management with Public Relations,GA376,206,,187,,187,,348,
545,International Tourism Management,GA377,172,,,,172,,360,
546,Culinary and Gastronomic Science,GA378,219,,,,219,,432,
547,International Hotel Management,GA380,242,,,,242,,330,
548,International Tourism Management,GA381,278,,,,278,,350,
549,Culinary and Gastronomic Science,GA382,206,,,,206,,337,
550,Event Management with Public Relations,GA384,212,,,,212,,328,
551,Construction Management,GA470,244,,243,,243,,349,
552,Quantity Surveying and Construction Economics,GA471,200,,,,200,,347,
553,Architectural Technology,GA472,226,,,,226,,367,
554,Civil Engineering,GA473,241,,,,241,,432,
555,Construction Management,GA480,260,,,,260,,336,
556,Quantity Surveying and Construction Economics,GA482,288,,,,288,,350,
557,Architectural Technology,GA483,265,,,,265,,337,
558,Civil Engineering,GA484,290,,,,290,,383,
559,Software and Electronic Engineering,GA570,224,,,,224,,399,
560,Software and Electronic Engineering,GA580,300,,,,300,,393,
561,Mechanical Engineering,GA670,265,,,,265,,413,
562,Energy Engineering,GA673,260,,,,260,,452,
563,Biomedical Engineering,GA674,298,,,,298,,455,
564,Agricultural Engineering,GA675,298,,,,298,,386,
565,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),GA676,290,,,,290,,465,
566,Manufacturing Engineering Design,GA677,235,,,,235,,379,
567,Mechanical Engineering,GA680,330,,,,330,,401,
568,Energy Engineering,GA681,293,,,,293,,366,
569,Biomedical Engineering,GA682,313,,,,313,,393,
570,Agricultural Engineering,GA683,309,,,,309,,385,
571,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),GA684,340,,,,340,,405,
572,Manufacturing Engineering Design,GA685,309,,,,309,,379,
573,Applied Freshwater and Marine Biology,GA770,280,,,,280,,388,
574,Applied Biology and Biopharmaceutical Science,GA771,280,,,,280,,465,
575,Chemical and Pharmaceutical Science,GA772,280,,,,280,,487,
576,Physics and Instrumentation,GA773,299,,,,299,,521,
577,Science (Undenominated),GA774,289,,,,289,,490,
578,Computing in Software Development,GA775,260,,,,260,,356,
579,Computing and Digital Media,GA776,241,,,,241,,381,
580,Agriculture and Environmental Management,GA777,281,,,,281,,393,
581,Applied Freshwater and Marine Biology,GA780,327,,,,327,,377,
582,Applied Biology and Biopharmaceutical Science,GA781,337,,,,337,,390,
583,Chemical and Pharmaceutical Science,GA782,336,,,,336,,388,
584,Physics and Instrumentation,GA783,363,,,,363,,408,
585,Science (Undenominated),GA784,372,,,,372,,403,
586,Medical Science,GA785,473,,,,473,,500,
587,Forensic Science and Analysis,GA786,317,,,,317,,387,
588,Computing in Software Development,GA787,270,,,,270,,315,
589,Computing and Digital Media,GA788,274,,,,282,,356,
590,Agriculture and Environmental Management,GA789,287,,,,289,,371,
591,Sport and Exercise Science,GA790,356,,,,356,,409,
592,Public Health Nutrition,GA791,368,,,,368,,409,
593,History & Geography,GA862,178,,,,178,,382,
594,Early Childhood Education and Care,GA864,214,,204,,204,,357,
595,Outdoor Education and Leisure,GA870,182,,171,,171,,399,
596,Early Childhood Education and Care,GA871,190,,,,190,,367,
597,Culture and Environment,GA872,196,,,,196,,328,
598,Applied Social Care,GA879,244,,,,244,,337,
599,General Nursing,GA880,429,*,422,*,422,*,441,
600,Psychiatric Nursing,GA882,367,,,,367,,377,
601,Outdoor Education,GA885,252,,,,252,,262,
602,History and Geography,GA887,244,,,,244,,380,
603,Applied Social Care,GA889,266,,,,266,,298,
604,Early Childhood Education and Care,GA890,270,,,,270,,327,
605,Geography and Outdoor Education,GA891,244,,,,244,,391,
606,"Furniture Design, Making and Technology - Common Entry",GA974,214,,,,214,,388,
607,Education (Design Graphics and Construction),GA980,377,,,,377,,411,
608,"Furniture Design, Making and Technology - Common Entry",GA984,284,,,,284,,369,
609,Business,GB001,,,,,115,,415,
610,Business Studies,GC200,252,,252,,252,,369,
611,Accounting and Finance,GC201,303,,303,,303,,388,
612,Computing Science,GC230,335,,325,,325,,393,
613,Communications and Media Production,GC250,,,,,,,,
614,Business Studies,GC300,429,,,,390,,432,
615,Accounting & Finance,GC301,253,,253,,253,,346,
616,Business Studies - HRM,GC302,,,,,,,,
617,International Hospitality Management,GC305,253,,253,,253,,253,
